budget,metric,participants,mean_snn_minus_ann,bootstrap_95_lower,bootstrap_95_upper
all,accuracy,9,0.06893004115226337,0.04449588477366252,0.09259259259259259
all,balanced_accuracy,9,0.06893004115226338,0.044495884773662536,0.09259259259259264
all,kappa,9,0.13786008230452676,0.08950617283950618,0.1841563786008231
all,macro_f1,9,0.06886883310502054,0.04413467660592886,0.09324404952836966
n25,accuracy,9,0.09233539094650209,0.05478395061728398,0.1298868312757202
n25,balanced_accuracy,9,0.09233539094650207,0.053240740740740776,0.12912165637860074
n25,kappa,9,0.1846707818930041,0.10853909465020574,0.2613168724279835
n25,macro_f1,9,0.0914537362277455,0.0497442618189654,0.13364067934812704
n50,accuracy,9,0.07278806584362135,0.04886831275720162,0.09619341563786005
n50,balanced_accuracy,9,0.07278806584362137,0.04835390946502059,0.09619341563786006
n50,kappa,9,0.14557613168724276,0.09516460905349791,0.19239969135802448
n50,macro_f1,9,0.07443592227512401,0.04935608171738069,0.09935835326811639
