subject,seed,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
1,0,all,ann_sew_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8611111111111112
1,0,all,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513865444899927
1,0,n25,ann_sew_binary,0.8125,0.8125,0.625,0.8120558805046647
1,0,n25,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9305421570519004
1,0,n50,ann_sew_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8610843141038009
1,0,n50,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9305421570519004
1,1,all,ann_sew_binary,0.8541666666666666,0.8541666666666667,0.7083333333333333,0.8541596334699784
1,1,all,sew_clif_binary,0.9375,0.9375,0.875,0.9374969857728479
1,1,n25,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8464818763326225
1,1,n25,sew_clif_binary,0.9166666666666666,0.9166666666666666,0.8333333333333333,0.9166023166023166
1,1,n50,ann_sew_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8610843141038009
1,1,n50,sew_clif_binary,0.9027777777777778,0.9027777777777777,0.8055555555555556,0.9027590198726606
1,2,all,ann_sew_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8610843141038009
1,2,all,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9305421570519004
1,2,n25,ann_sew_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8611111111111112
1,2,n25,sew_clif_binary,0.9166666666666666,0.9166666666666667,0.8333333333333333,0.9166505884622804
1,2,n50,ann_sew_binary,0.8194444444444444,0.8194444444444444,0.6388888888888888,0.8194444444444444
1,2,n50,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9305421570519004
2,0,all,ann_sew_binary,0.6111111111111112,0.6111111111111112,0.22222222222222232,0.6104347826086957
2,0,all,sew_clif_binary,0.5902777777777778,0.5902777777777778,0.18055555555555558,0.5902580178442247
2,0,n25,ann_sew_binary,0.625,0.625,0.25,0.6247104247104247
2,0,n25,sew_clif_binary,0.5972222222222222,0.5972222222222222,0.19444444444444442,0.5875962867864902
2,0,n50,ann_sew_binary,0.6180555555555556,0.6180555555555556,0.23611111111111116,0.6112883435582822
2,0,n50,sew_clif_binary,0.6736111111111112,0.6736111111111112,0.3472222222222223,0.673217130993192
2,1,all,ann_sew_binary,0.6180555555555556,0.6180555555555556,0.23611111111111116,0.6175945149920332
2,1,all,sew_clif_binary,0.7083333333333334,0.7083333333333333,0.41666666666666674,0.7074303405572755
2,1,n25,ann_sew_binary,0.5416666666666666,0.5416666666666667,0.08333333333333326,0.5415782365425429
2,1,n25,sew_clif_binary,0.6041666666666666,0.6041666666666667,0.20833333333333326,0.6032290810654033
2,1,n50,ann_sew_binary,0.5486111111111112,0.5486111111111112,0.09722222222222232,0.5367941802345721
2,1,n50,sew_clif_binary,0.625,0.625,0.25,0.6238390092879257
2,2,all,ann_sew_binary,0.6388888888888888,0.6388888888888888,0.2777777777777777,0.6331569664902998
2,2,all,sew_clif_binary,0.5763888888888888,0.5763888888888888,0.15277777777777768,0.5753855078068353
2,2,n25,ann_sew_binary,0.6111111111111112,0.6111111111111112,0.22222222222222232,0.6
2,2,n25,sew_clif_binary,0.5763888888888888,0.5763888888888888,0.15277777777777768,0.5258811464349328
2,2,n50,ann_sew_binary,0.6180555555555556,0.6180555555555556,0.23611111111111116,0.601910027645137
2,2,n50,sew_clif_binary,0.6041666666666666,0.6041666666666667,0.20833333333333326,0.5918651484262343
3,0,all,ann_sew_binary,0.8541666666666666,0.8541666666666667,0.7083333333333333,0.8541033434650456
3,0,all,sew_clif_binary,0.9652777777777778,0.9652777777777778,0.9305555555555556,0.9652358649992758
3,0,n25,ann_sew_binary,0.8125,0.8125,0.625,0.8084257206208425
3,0,n25,sew_clif_binary,0.9375,0.9375,0.875,0.9372549019607843
3,0,n50,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8457643622200585
3,0,n50,sew_clif_binary,0.9583333333333334,0.9583333333333333,0.9166666666666667,0.9582608695652175
3,1,all,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8469565217391304
3,1,all,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513302109989861
3,1,n25,ann_sew_binary,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.7773913043478261
3,1,n25,sew_clif_binary,0.9375,0.9375,0.875,0.9374245569986963
3,1,n50,ann_sew_binary,0.8263888888888888,0.8263888888888888,0.6527777777777777,0.8263805160356885
3,1,n50,sew_clif_binary,0.9375,0.9375,0.875,0.9374245569986963
3,2,all,ann_sew_binary,0.875,0.875,0.75,0.8749034749034748
3,2,all,sew_clif_binary,0.9375,0.9375,0.875,0.9373519601682216
3,2,n25,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8471042471042471
3,2,n25,sew_clif_binary,0.9236111111111112,0.9236111111111112,0.8472222222222223,0.9233115468409586
3,2,n50,ann_sew_binary,0.8541666666666666,0.8541666666666667,0.7083333333333333,0.8538212403925172
3,2,n50,sew_clif_binary,0.9166666666666666,0.9166666666666667,0.8333333333333333,0.9162628416359759
4,0,all,ann_sew_binary,0.7083333333333334,0.7083333333333334,0.41666666666666674,0.7013628283626309
4,0,all,sew_clif_binary,0.7152777777777778,0.7152777777777778,0.4305555555555556,0.7049032838506524
4,0,n25,ann_sew_binary,0.6180555555555556,0.6180555555555556,0.23611111111111116,0.6126571135129848
4,0,n25,sew_clif_binary,0.6597222222222222,0.6597222222222222,0.3194444444444444,0.6356689213610782
4,0,n50,ann_sew_binary,0.6458333333333334,0.6458333333333333,0.29166666666666674,0.6348267117497887
4,0,n50,sew_clif_binary,0.7291666666666666,0.7291666666666667,0.45833333333333326,0.7232815964523281
4,1,all,ann_sew_binary,0.6527777777777778,0.6527777777777778,0.3055555555555556,0.6410767696909273
4,1,all,sew_clif_binary,0.7013888888888888,0.7013888888888888,0.4027777777777777,0.6826405617344062
4,1,n25,ann_sew_binary,0.6805555555555556,0.6805555555555556,0.36111111111111116,0.6799999999999999
4,1,n25,sew_clif_binary,0.7569444444444444,0.7569444444444444,0.5138888888888888,0.7535090722355358
4,1,n50,ann_sew_binary,0.6805555555555556,0.6805555555555556,0.36111111111111116,0.6742722265932337
4,1,n50,sew_clif_binary,0.7152777777777778,0.7152777777777777,0.4305555555555556,0.7064293172890457
4,2,all,ann_sew_binary,0.7083333333333334,0.7083333333333333,0.41666666666666674,0.7074303405572755
4,2,all,sew_clif_binary,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.7742504409171076
4,2,n25,ann_sew_binary,0.6527777777777778,0.6527777777777777,0.3055555555555556,0.6527107852595022
4,2,n25,sew_clif_binary,0.7430555555555556,0.7430555555555556,0.48611111111111116,0.7415474169294203
4,2,n50,ann_sew_binary,0.7013888888888888,0.7013888888888888,0.4027777777777777,0.6971682887465154
4,2,n50,sew_clif_binary,0.7291666666666666,0.7291666666666667,0.45833333333333326,0.7207498383968971
5,0,all,ann_sew_binary,0.7916666666666666,0.7916666666666667,0.5833333333333333,0.7906571040899399
5,0,all,sew_clif_binary,0.9166666666666666,0.9166666666666667,0.8333333333333333,0.9162628416359759
5,0,n25,ann_sew_binary,0.7152777777777778,0.7152777777777778,0.4305555555555556,0.715154146765089
5,0,n25,sew_clif_binary,0.875,0.875,0.75,0.8741258741258742
5,0,n50,ann_sew_binary,0.7638888888888888,0.7638888888888888,0.5277777777777777,0.763157894736842
5,0,n50,sew_clif_binary,0.8819444444444444,0.8819444444444444,0.7638888888888888,0.8809743764282589
5,1,all,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8469565217391304
5,1,all,sew_clif_binary,0.9652777777777778,0.9652777777777778,0.9305555555555556,0.9652761032071377
5,1,n25,ann_sew_binary,0.7986111111111112,0.7986111111111112,0.5972222222222223,0.796401930671347
5,1,n25,sew_clif_binary,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444337256415204
5,1,n50,ann_sew_binary,0.8472222222222222,0.8472222222222222,0.6944444444444444,0.8469565217391304
5,1,n50,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9305019305019305
5,2,all,ann_sew_binary,0.8125,0.8125,0.625,0.8120558805046647
5,2,all,sew_clif_binary,0.9166666666666666,0.9166666666666667,0.8333333333333333,0.9165217391304348
5,2,n25,ann_sew_binary,0.6736111111111112,0.6736111111111112,0.3472222222222223,0.6650665610926907
5,2,n25,sew_clif_binary,0.9305555555555556,0.9305555555555556,0.8611111111111112,0.9304347826086956
5,2,n50,ann_sew_binary,0.7916666666666666,0.7916666666666667,0.5833333333333333,0.7916264711557013
5,2,n50,sew_clif_binary,0.9027777777777778,0.9027777777777778,0.8055555555555556,0.9026086956521739
6,0,all,ann_sew_binary,0.6666666666666666,0.6666666666666667,0.33333333333333326,0.6650513665439038
6,0,all,sew_clif_binary,0.6875,0.6875,0.375,0.6874849288642393
6,0,n25,ann_sew_binary,0.6388888888888888,0.6388888888888888,0.2777777777777777,0.6386100386100386
6,0,n25,sew_clif_binary,0.6597222222222222,0.6597222222222222,0.3194444444444444,0.6569261438226284
6,0,n50,ann_sew_binary,0.6736111111111112,0.6736111111111112,0.3472222222222223,0.673469387755102
6,0,n50,sew_clif_binary,0.6736111111111112,0.6736111111111112,0.3472222222222223,0.6735953701470943
6,1,all,ann_sew_binary,0.625,0.625,0.25,0.6238390092879257
6,1,all,sew_clif_binary,0.6527777777777778,0.6527777777777778,0.3055555555555556,0.6428571428571429
6,1,n25,ann_sew_binary,0.6388888888888888,0.6388888888888888,0.2777777777777777,0.6285714285714286
6,1,n25,sew_clif_binary,0.625,0.625,0.25,0.6203125
6,1,n50,ann_sew_binary,0.6666666666666666,0.6666666666666667,0.33333333333333326,0.6656346749226006
6,1,n50,sew_clif_binary,0.6666666666666666,0.6666666666666667,0.33333333333333326,0.6601101494885917
6,2,all,ann_sew_binary,0.6111111111111112,0.6111111111111112,0.22222222222222232,0.6062500000000001
6,2,all,sew_clif_binary,0.6666666666666666,0.6666666666666667,0.33333333333333326,0.6656346749226006
6,2,n25,ann_sew_binary,0.6319444444444444,0.6319444444444444,0.26388888888888884,0.631784628745115
6,2,n25,sew_clif_binary,0.6805555555555556,0.6805555555555556,0.36111111111111116,0.6799999999999999
6,2,n50,ann_sew_binary,0.6180555555555556,0.6180555555555556,0.23611111111111116,0.6171508676946875
6,2,n50,sew_clif_binary,0.6319444444444444,0.6319444444444444,0.26388888888888884,0.631784628745115
7,0,all,ann_sew_binary,0.7569444444444444,0.7569444444444444,0.5138888888888888,0.7549472455875917
7,0,all,sew_clif_binary,0.8958333333333334,0.8958333333333334,0.7916666666666667,0.8957075949978273
7,0,n25,ann_sew_binary,0.6597222222222222,0.6597222222222222,0.3194444444444444,0.6327868852459017
7,0,n25,sew_clif_binary,0.8541666666666666,0.8541666666666666,0.7083333333333333,0.852968347352555
7,0,n50,ann_sew_binary,0.7013888888888888,0.7013888888888888,0.4027777777777777,0.6848373797526339
7,0,n50,sew_clif_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8597857838364167
7,1,all,ann_sew_binary,0.7013888888888888,0.7013888888888888,0.4027777777777777,0.6960981595092025
7,1,all,sew_clif_binary,0.875,0.875,0.75,0.8741258741258742
7,1,n25,ann_sew_binary,0.7152777777777778,0.7152777777777778,0.4305555555555556,0.7152640462985291
7,1,n25,sew_clif_binary,0.8263888888888888,0.8263888888888888,0.6527777777777777,0.8261793249963787
7,1,n50,ann_sew_binary,0.7222222222222222,0.7222222222222222,0.4444444444444444,0.7113071371291099
7,1,n50,sew_clif_binary,0.8263888888888888,0.8263888888888888,0.6527777777777777,0.8244844229925405
7,2,all,ann_sew_binary,0.8055555555555556,0.8055555555555556,0.6111111111111112,0.8046132971506106
7,2,all,sew_clif_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8601398601398602
7,2,n25,ann_sew_binary,0.7222222222222222,0.7222222222222223,0.4444444444444444,0.7221686282076017
7,2,n25,sew_clif_binary,0.8819444444444444,0.8819444444444444,0.7638888888888888,0.8809743764282589
7,2,n50,ann_sew_binary,0.75,0.75,0.5,0.746875
7,2,n50,sew_clif_binary,0.8888888888888888,0.8888888888888888,0.7777777777777777,0.8881118881118881
8,0,all,ann_sew_binary,0.8888888888888888,0.8888888888888888,0.7777777777777777,0.8883504555146347
8,0,all,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9512737467975056
8,0,n25,ann_sew_binary,0.9027777777777778,0.9027777777777777,0.8055555555555556,0.9027590198726606
8,0,n25,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513302109989861
8,0,n50,ann_sew_binary,0.875,0.875,0.75,0.8743942624539639
8,0,n50,sew_clif_binary,0.9375,0.9375,0.875,0.9372549019607843
8,1,all,ann_sew_binary,0.8958333333333334,0.8958333333333333,0.7916666666666667,0.8957881024750325
8,1,all,sew_clif_binary,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9722007722007722
8,1,n25,ann_sew_binary,0.9027777777777778,0.9027777777777778,0.8055555555555556,0.9023066485753053
8,1,n25,sew_clif_binary,0.9652777777777778,0.9652777777777778,0.9305555555555556,0.9652627008250108
8,1,n50,ann_sew_binary,0.9097222222222222,0.9097222222222222,0.8194444444444444,0.909717868338558
8,1,n50,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513865444899927
8,2,all,ann_sew_binary,0.8958333333333334,0.8958333333333334,0.7916666666666667,0.8954248366013073
8,2,all,sew_clif_binary,0.9583333333333334,0.9583333333333333,0.9166666666666667,0.9582608695652175
8,2,n25,ann_sew_binary,0.875,0.875,0.75,0.8749034749034748
8,2,n25,sew_clif_binary,0.9583333333333334,0.9583333333333333,0.9166666666666667,0.9582608695652175
8,2,n50,ann_sew_binary,0.8888888888888888,0.8888888888888888,0.7777777777777777,0.8881118881118881
8,2,n50,sew_clif_binary,0.9652777777777778,0.9652777777777778,0.9305555555555556,0.9652627008250108
9,0,all,ann_sew_binary,0.8194444444444444,0.8194444444444444,0.6388888888888888,0.8185694902112812
9,0,all,sew_clif_binary,0.8819444444444444,0.8819444444444444,0.7638888888888888,0.8819387509042681
9,0,n25,ann_sew_binary,0.75,0.75,0.5,0.7495652173913043
9,0,n25,sew_clif_binary,0.7986111111111112,0.7986111111111112,0.5972222222222223,0.7981340938753806
9,0,n50,ann_sew_binary,0.75,0.75,0.5,0.7495652173913043
9,0,n50,sew_clif_binary,0.8541666666666666,0.8541666666666667,0.7083333333333333,0.8541596334699784
9,1,all,ann_sew_binary,0.8125,0.8125,0.625,0.8124909573185436
9,1,all,sew_clif_binary,0.8680555555555556,0.8680555555555556,0.7361111111111112,0.8680491921871232
9,1,n25,ann_sew_binary,0.6875,0.6875,0.375,0.6862745098039216
9,1,n25,sew_clif_binary,0.8958333333333334,0.8958333333333333,0.7916666666666667,0.8957881024750325
9,1,n50,ann_sew_binary,0.7708333333333334,0.7708333333333334,0.5416666666666667,0.7705567089952201
9,1,n50,sew_clif_binary,0.875,0.875,0.75,0.8749034749034748
9,2,all,ann_sew_binary,0.7708333333333334,0.7708333333333333,0.5416666666666667,0.7702905206168125
9,2,all,sew_clif_binary,0.8402777777777778,0.8402777777777778,0.6805555555555556,0.8402700747528336
9,2,n25,ann_sew_binary,0.75,0.75,0.5,0.7450826121164438
9,2,n25,sew_clif_binary,0.8958333333333334,0.8958333333333333,0.7916666666666667,0.895828309621413
9,2,n50,ann_sew_binary,0.7847222222222222,0.7847222222222223,0.5694444444444444,0.7842123072460966
9,2,n50,sew_clif_binary,0.8611111111111112,0.8611111111111112,0.7222222222222223,0.8610843141038009
