dataset,subject,seed,budget,variant,eligible_event_accumulations,scope,actual_gpu_sparse_execution_measured,energy_claim_supported
bci2a,1,0,n25,sew_clif_equal,277401,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,0,n50,sew_clif_equal,296501,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,0,all,sew_clif_equal,304677,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,1,n25,sew_clif_equal,325369,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,1,n50,sew_clif_equal,332551,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,1,all,sew_clif_equal,320665,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,2,n25,sew_clif_equal,313579,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,2,n50,sew_clif_equal,345231,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,1,2,all,sew_clif_equal,313299,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,0,n25,sew_clif_equal,261113,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,0,n50,sew_clif_equal,255222,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,0,all,sew_clif_equal,268041,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,1,n25,sew_clif_equal,251020,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,1,n50,sew_clif_equal,273870,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,1,all,sew_clif_equal,274620,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,2,n25,sew_clif_equal,283478,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,2,n50,sew_clif_equal,291791,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,2,2,all,sew_clif_equal,288582,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,0,n25,sew_clif_equal,312163,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,0,n50,sew_clif_equal,315497,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,0,all,sew_clif_equal,311498,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,1,n25,sew_clif_equal,322952,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,1,n50,sew_clif_equal,335126,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,1,all,sew_clif_equal,317921,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,2,n25,sew_clif_equal,317263,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,2,n50,sew_clif_equal,345211,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,3,2,all,sew_clif_equal,335573,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,0,n25,sew_clif_equal,264579,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,0,n50,sew_clif_equal,269686,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,0,all,sew_clif_equal,295291,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,1,n25,sew_clif_equal,274572,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,1,n50,sew_clif_equal,311898,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,1,all,sew_clif_equal,321079,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,2,n25,sew_clif_equal,306302,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,2,n50,sew_clif_equal,345530,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,4,2,all,sew_clif_equal,329871,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,0,n25,sew_clif_equal,333128,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,0,n50,sew_clif_equal,307681,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,0,all,sew_clif_equal,347521,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,1,n25,sew_clif_equal,336806,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,1,n50,sew_clif_equal,341012,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,1,all,sew_clif_equal,337349,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,2,n25,sew_clif_equal,332221,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,2,n50,sew_clif_equal,339458,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,5,2,all,sew_clif_equal,316303,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,0,n25,sew_clif_equal,329107,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,0,n50,sew_clif_equal,300371,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,0,all,sew_clif_equal,312001,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,1,n25,sew_clif_equal,337430,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,1,n50,sew_clif_equal,346807,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,1,all,sew_clif_equal,328757,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,2,n25,sew_clif_equal,334512,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,2,n50,sew_clif_equal,342531,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,6,2,all,sew_clif_equal,345014,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,0,n25,sew_clif_equal,323645,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,0,n50,sew_clif_equal,342027,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,0,all,sew_clif_equal,321121,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,1,n25,sew_clif_equal,364089,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,1,n50,sew_clif_equal,368987,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,1,all,sew_clif_equal,367134,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,2,n25,sew_clif_equal,325725,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,2,n50,sew_clif_equal,327194,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,7,2,all,sew_clif_equal,358971,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,0,n25,sew_clif_equal,333776,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,0,n50,sew_clif_equal,320892,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,0,all,sew_clif_equal,332826,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,1,n25,sew_clif_equal,320864,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,1,n50,sew_clif_equal,328722,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,1,all,sew_clif_equal,352143,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,2,n25,sew_clif_equal,371078,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,2,n50,sew_clif_equal,349190,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,8,2,all,sew_clif_equal,336872,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,0,n25,sew_clif_equal,425502,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,0,n50,sew_clif_equal,421469,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,0,all,sew_clif_equal,466064,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,1,n25,sew_clif_equal,349399,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,1,n50,sew_clif_equal,385846,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,1,all,sew_clif_equal,393100,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,2,n25,sew_clif_equal,332372,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,2,n50,sew_clif_equal,370071,optimistic_directly_event_triggerable_additions_only,False,False
bci2a,9,2,all,sew_clif_equal,388666,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,0,n25,sew_clif_equal,82495,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,0,all,sew_clif_equal,93185,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,1,n25,sew_clif_equal,101962,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,1,all,sew_clif_equal,108017,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,2,n25,sew_clif_equal,89674,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,1,2,all,sew_clif_equal,96062,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,0,n25,sew_clif_equal,70311,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,0,all,sew_clif_equal,82434,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,1,n25,sew_clif_equal,97050,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,1,all,sew_clif_equal,102106,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,2,n25,sew_clif_equal,79452,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,2,2,all,sew_clif_equal,86430,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,0,n25,sew_clif_equal,89441,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,0,all,sew_clif_equal,92826,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,1,n25,sew_clif_equal,78328,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,1,all,sew_clif_equal,84273,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,2,n25,sew_clif_equal,107401,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,3,2,all,sew_clif_equal,105533,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,0,n25,sew_clif_equal,71901,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,0,all,sew_clif_equal,75467,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,1,n25,sew_clif_equal,79966,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,1,all,sew_clif_equal,87153,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,2,n25,sew_clif_equal,78028,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,4,2,all,sew_clif_equal,104925,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,0,n25,sew_clif_equal,81100,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,0,all,sew_clif_equal,86728,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,1,n25,sew_clif_equal,97256,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,1,all,sew_clif_equal,92226,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,2,n25,sew_clif_equal,92911,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,5,2,all,sew_clif_equal,89431,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,0,n25,sew_clif_equal,103064,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,0,all,sew_clif_equal,101658,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,1,n25,sew_clif_equal,79490,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,1,all,sew_clif_equal,84523,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,2,n25,sew_clif_equal,91540,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,6,2,all,sew_clif_equal,90017,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,0,n25,sew_clif_equal,77838,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,0,all,sew_clif_equal,82866,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,1,n25,sew_clif_equal,71605,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,1,all,sew_clif_equal,76559,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,2,n25,sew_clif_equal,84176,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,7,2,all,sew_clif_equal,93697,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,0,n25,sew_clif_equal,88447,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,0,all,sew_clif_equal,92883,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,1,n25,sew_clif_equal,75131,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,1,all,sew_clif_equal,81488,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,2,n25,sew_clif_equal,96289,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,8,2,all,sew_clif_equal,87554,optimistic_directly_event_triggerable_additions_only,False,False
openbmi,9,0,n25,sew_clif_equal,92711,optimistic_directly_event_triggerable_additions_only,False,False
