contrast,left,right,dataset,budget,metric,participants,mean_difference,bootstrap_95_lower,bootstrap_95_upper
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,all,accuracy,9,0.06648662551440328,0.04758230452674896,0.08912037037037036
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,all,balanced_accuracy,9,0.06648662551440326,0.04745370370370366,0.08860596707818927
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,all,kappa,9,0.08864883401920437,0.06395318930041151,0.11831275720164605
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,all,macro_f1,9,0.06192983691632111,0.04217943639916872,0.08455299651717245
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,n25,accuracy,9,0.11085390946502054,0.09002057613168722,0.13245884773662547
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,n25,balanced_accuracy,9,0.11085390946502055,0.09027777777777779,0.13284465020576125
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,n25,kappa,9,0.1478052126200274,0.12105624142661177,0.17644032921810696
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bci2a,n25,macro_f1,9,0.10866369284635108,0.08676151170925443,0.1310215371197875
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,all,accuracy,9,0.016534391534391544,0.0021990740740740846,0.03224206349206347
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,all,balanced_accuracy,9,0.016534391534391544,0.0019675925925926162,0.032242063492063495
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,all,kappa,9,0.03306878306878304,0.005318287037036984,0.06494708994708993
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,all,macro_f1,9,0.012628304183510611,-0.0034960795499953267,0.030021730355205802
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,n25,accuracy,9,0.0847883597883598,0.0350186011904762,0.1361111111111111
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,n25,balanced_accuracy,9,0.08478835978835977,0.03624338624338626,0.13756613756613753
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,n25,kappa,9,0.1695767195767196,0.07145916005291006,0.2726851851851852
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,bnci2014_004,n25,macro_f1,9,0.07712530881370762,0.019234312240125624,0.13738908063065172
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,all,accuracy,54,0.049691358024691365,0.029382716049382716,0.07018518518518516
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,all,balanced_accuracy,54,0.04969135802469135,0.029382716049382713,0.07030864197530862
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,all,kappa,54,0.09938271604938273,0.05814814814814818,0.14111111111111113
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,all,macro_f1,54,0.04798664790197021,0.024089246707383518,0.07188398424037787
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,n25,accuracy,54,0.058086419753086406,0.036913580246913574,0.07975308641975308
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,n25,balanced_accuracy,54,0.058086419753086385,0.037037037037037035,0.07944444444444446
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,n25,kappa,54,0.11617283950617281,0.0737037037037037,0.16037037037037039
REV-E1_Exact_minus_ANN,soft_clif_exact,ann_sew_ce,openbmi,n25,macro_f1,54,0.05439371999519893,0.029999768547563574,0.0796753417360439
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,all,accuracy,9,0.007716049382716059,-0.0021862139917695478,0.019936342592592606
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,all,balanced_accuracy,9,0.007716049382716059,-0.0020576131687243013,0.019804526748971214
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,all,kappa,9,0.010288065843621408,-0.0030864197530864335,0.02674897119341564
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,all,macro_f1,9,0.00952985749744939,-0.001477181398845514,0.02217860317753172
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,n25,accuracy,9,0.012860082304526763,0.0007716049382716269,0.024819958847736665
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,n25,balanced_accuracy,9,0.012860082304526732,0.0005144032921810472,0.02469135802469132
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,n25,kappa,9,0.01714677640603568,0.0003429355281207025,0.033093278463648845
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bci2a,n25,macro_f1,9,0.009961297408740084,-0.004507886307325577,0.023338554713298994
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,all,accuracy,9,-0.01921296296296295,-0.03425925925925924,-0.006365740740740749
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,all,balanced_accuracy,9,-0.01921296296296294,-0.03414351851851847,-0.006481481481481507
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,all,kappa,9,-0.03842592592592589,-0.06806134259259257,-0.012731481481481436
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,all,macro_f1,9,-0.016626613915136017,-0.03220462163718243,-0.0027716880588715825
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,n25,accuracy,9,-0.0039847883597883705,-0.017296213624338617,0.006317377645502592
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,n25,balanced_accuracy,9,-0.003984788359788333,-0.016947751322751232,0.006367394179894163
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,n25,kappa,9,-0.007969576719576701,-0.03482390873015871,0.01286375661375663
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,bnci2014_004,n25,macro_f1,9,0.00550897671147737,-0.01191126161306782,0.021713068566547183
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,all,accuracy,54,0.007345679012345683,-0.0006172839506172818,0.015432098765432096
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,all,balanced_accuracy,54,0.007345679012345683,-0.0005555555555555582,0.01549382716049383
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,all,kappa,54,0.014691358024691358,-0.0012345679012345694,0.030740740740740735
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,all,macro_f1,54,0.007704389028276198,-0.0029718614374964094,0.018536660818014146
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,n25,accuracy,54,0.012654320987654332,0.004691358024691379,0.02086419753086421
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,n25,balanced_accuracy,54,0.012654320987654335,0.0048765432098765785,0.02104938271604937
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,n25,kappa,54,0.02530864197530866,0.009135802469135815,0.04185185185185186
REV-E1_Hard_minus_Exact,sew_clif_ce,soft_clif_exact,openbmi,n25,macro_f1,54,0.016327267671809483,0.004312527278990825,0.029045662357075598
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,all,accuracy,9,-0.005272633744855993,-0.012217078189300413,0.001286008230452662
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,all,balanced_accuracy,9,-0.0052726337448560185,-0.012345679012345722,0.0012860082304526376
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,all,kappa,9,-0.007030178326474629,-0.016289437585733917,0.0015432098765432167
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,all,macro_f1,9,-0.005590941408118024,-0.012927595647870823,0.0014625560146984946
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,n25,accuracy,9,-0.001929012345678987,-0.013503086419753056,0.011316872427983547
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,n25,balanced_accuracy,9,-0.0019290123456790116,-0.014017489711934136,0.010931069958847746
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,n25,kappa,9,-0.0025720164609053736,-0.01851851851851856,0.014917695473251027
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bci2a,n25,macro_f1,9,-0.0053214150752915156,-0.02024937576503176,0.010674312791569298
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,all,accuracy,9,-0.015327380952380966,-0.023263888888888935,-0.006860945767195823
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,all,balanced_accuracy,9,-0.015327380952380966,-0.023263888888888924,-0.006927910052910071
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,all,kappa,9,-0.0306547619047619,-0.04675925925925925,-0.013822751322751315
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,all,macro_f1,9,-0.01583480988325327,-0.024395894527347643,-0.006639681851848175
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,n25,accuracy,9,-0.008134920634920606,-0.018518518518518465,0.0019675925925926162
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,n25,balanced_accuracy,9,-0.008134920634920594,-0.01863425925925921,0.0019675925925926162
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,n25,kappa,9,-0.01626984126984122,-0.03733465608465603,0.0039351851851852325
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,bnci2014_004,n25,macro_f1,9,-0.007802052168421515,-0.018941034153106426,0.0025920975923663814
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,accuracy,54,0.0054320987654320925,-0.0004938271604938458,0.011728395061728387
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,balanced_accuracy,54,0.005432098765432095,-0.000495370370370382,0.011666666666666672
REV-E2_Hard_minus_GRUStat,sew_clif_ce,gru_stat,openbmi,all,kappa,54,0.010864197530864192,-0.001111111111111118,0.023209876543209867
