dataset,subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,1,all,ann_sew_ce,0.7233796296296297,0.7233796296296297,0.6311728395061729,0.7222531406725275
bci2a,1,all,ann_sew_equal,0.7280092592592592,0.7280092592592592,0.6373456790123456,0.7285194956486217
bci2a,1,all,gru_stat,0.8587962962962963,0.8587962962962963,0.8117283950617283,0.8589678336899434
bci2a,1,all,sew_clif_ce,0.84375,0.84375,0.7916666666666666,0.8443197083283357
bci2a,1,all,sew_clif_equal,0.8460648148148149,0.8460648148148149,0.7947530864197531,0.8467196047970654
bci2a,1,all,soft_clif_exact,0.8530092592592592,0.8530092592592592,0.8040123456790124,0.8536766865739089
bci2a,1,all,tcn_stat,0.8506944444444443,0.8506944444444443,0.8009259259259259,0.851009132269502
bci2a,1,n25,ann_sew_ce,0.6574074074074074,0.6574074074074074,0.5432098765432097,0.6580305530765141
bci2a,1,n25,ann_sew_equal,0.6516203703703703,0.6516203703703703,0.5354938271604938,0.6532312858075259
bci2a,1,n25,gru_stat,0.8541666666666666,0.8541666666666666,0.8055555555555555,0.8545100085036536
bci2a,1,n25,sew_clif_ce,0.829861111111111,0.829861111111111,0.773148148148148,0.8307143187693925
bci2a,1,n25,sew_clif_equal,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8337298869968546
bci2a,1,n25,soft_clif_exact,0.8194444444444445,0.8194444444444443,0.7592592592592592,0.8189636324851142
bci2a,1,n25,tcn_stat,0.8275462962962963,0.8275462962962964,0.7700617283950617,0.827500126150059
bci2a,1,n50,ann_sew_ce,0.7141203703703703,0.7141203703703702,0.6188271604938271,0.7133372052998119
bci2a,1,n50,ann_sew_equal,0.7118055555555555,0.7118055555555555,0.6157407407407408,0.7126177599640391
bci2a,1,n50,sew_clif_ce,0.8460648148148149,0.8460648148148149,0.7947530864197531,0.8464293902645893
bci2a,1,n50,sew_clif_equal,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8340500568266175
bci2a,2,all,ann_sew_ce,0.45023148148148145,0.45023148148148157,0.26697530864197533,0.4347878321807106
bci2a,2,all,ann_sew_equal,0.45486111111111116,0.45486111111111116,0.27314814814814814,0.43803931136058133
bci2a,2,all,gru_stat,0.5648148148148149,0.5648148148148149,0.4197530864197531,0.5337761130906616
bci2a,2,all,sew_clif_ce,0.5555555555555557,0.5555555555555555,0.40740740740740744,0.525089199076048
bci2a,2,all,sew_clif_equal,0.5532407407407408,0.5532407407407408,0.404320987654321,0.5254121592409661
bci2a,2,all,soft_clif_exact,0.5555555555555556,0.5555555555555556,0.4074074074074074,0.526649634694735
bci2a,2,all,tcn_stat,0.5717592592592592,0.5717592592592592,0.4290123456790123,0.5397981279249894
bci2a,2,n25,ann_sew_ce,0.39351851851851855,0.39351851851851855,0.19135802469135807,0.3845714604339152
bci2a,2,n25,ann_sew_equal,0.3912037037037037,0.3912037037037037,0.18827160493827164,0.38325582392287466
bci2a,2,n25,gru_stat,0.5243055555555556,0.5243055555555555,0.36574074074074076,0.5088310391789147
bci2a,2,n25,sew_clif_ce,0.5219907407407408,0.5219907407407408,0.36265432098765427,0.4930836975564401
bci2a,2,n25,sew_clif_equal,0.5196759259259259,0.5196759259259259,0.3595679012345679,0.49617140739664856
bci2a,2,n25,soft_clif_exact,0.5462962962962963,0.5462962962962963,0.3950617283950617,0.5303452962785089
bci2a,2,n25,tcn_stat,0.548611111111111,0.548611111111111,0.3981481481481481,0.5279192853823339
bci2a,2,n50,ann_sew_ce,0.4398148148148148,0.4398148148148148,0.25308641975308643,0.4225100641273918
bci2a,2,n50,ann_sew_equal,0.44328703703703703,0.44328703703703703,0.25771604938271603,0.4300127608459248
bci2a,2,n50,sew_clif_ce,0.5347222222222222,0.5347222222222222,0.3796296296296297,0.5040624554907204
bci2a,2,n50,sew_clif_equal,0.5266203703703703,0.5266203703703703,0.36882716049382713,0.49022606276134956
bci2a,3,all,ann_sew_ce,0.7719907407407408,0.7719907407407408,0.6959876543209877,0.770894923943894
bci2a,3,all,ann_sew_equal,0.78125,0.78125,0.7083333333333334,0.7794422593552627
bci2a,3,all,gru_stat,0.863425925925926,0.863425925925926,0.8179012345679014,0.8626216966254304
bci2a,3,all,sew_clif_ce,0.8645833333333334,0.8645833333333334,0.8194444444444445,0.863846234740671
bci2a,3,all,sew_clif_equal,0.8530092592592592,0.8530092592592592,0.8040123456790124,0.8518362566392836
bci2a,3,all,soft_clif_exact,0.8541666666666666,0.8541666666666666,0.8055555555555555,0.8535698370028256
bci2a,3,all,tcn_stat,0.8622685185185186,0.8622685185185186,0.8163580246913581,0.8608151525182107
bci2a,3,n25,ann_sew_ce,0.6793981481481483,0.6793981481481483,0.5725308641975309,0.6770929715754809
bci2a,3,n25,ann_sew_equal,0.6863425925925926,0.6863425925925927,0.58179012345679,0.6848539209210017
bci2a,3,n25,gru_stat,0.8425925925925926,0.8425925925925926,0.7901234567901235,0.8423982678989607
bci2a,3,n25,sew_clif_ce,0.8518518518518517,0.8518518518518517,0.8024691358024691,0.8510969965511971
bci2a,3,n25,sew_clif_equal,0.8483796296296297,0.8483796296296297,0.7978395061728395,0.8468160880281355
bci2a,3,n25,soft_clif_exact,0.8182870370370371,0.8182870370370371,0.757716049382716,0.8166755176001237
bci2a,3,n25,tcn_stat,0.8333333333333334,0.8333333333333334,0.7777777777777777,0.8327507168439023
bci2a,3,n50,ann_sew_ce,0.7372685185185185,0.7372685185185185,0.6496913580246914,0.736234942809343
bci2a,3,n50,ann_sew_equal,0.7407407407407408,0.7407407407407408,0.654320987654321,0.7398223399274353
