dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,1,0,n25,soft_clif_exact,REV-E1,0.8298611111111112,0.829861111111111,0.7731481481481483,0.8303337814567299
bci2a,1,0,all,soft_clif_exact,REV-E1,0.8645833333333334,0.8645833333333333,0.8194444444444445,0.86561494022393
bci2a,1,0,n25,gru_stat,REV-E2,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8334602780506141
bci2a,1,0,all,gru_stat,REV-E2,0.8645833333333334,0.8645833333333333,0.8194444444444445,0.8653706821776621
bci2a,1,0,n25,tcn_stat,REV-E2,0.8194444444444444,0.8194444444444445,0.7592592592592592,0.8183366789770754
bci2a,1,0,all,tcn_stat,REV-E2,0.8576388888888888,0.8576388888888888,0.8101851851851851,0.8582198041991036
bci2a,1,0,n25,ann_sew_equal,REV-E3,0.6493055555555556,0.6493055555555556,0.5324074074074074,0.6503203630399326
bci2a,1,0,n50,ann_sew_equal,REV-E3,0.7118055555555556,0.7118055555555556,0.6157407407407408,0.7126460144180904
bci2a,1,0,all,ann_sew_equal,REV-E3,0.7395833333333334,0.7395833333333334,0.6527777777777778,0.7374094085799594
bci2a,1,0,n25,sew_clif_equal,REV-E3,0.8229166666666666,0.8229166666666667,0.7638888888888888,0.8238399221956643
bci2a,1,0,n50,sew_clif_equal,REV-E3,0.8368055555555556,0.8368055555555556,0.7824074074074074,0.8382145346374353
bci2a,1,0,all,sew_clif_equal,REV-E3,0.8472222222222222,0.8472222222222222,0.7962962962962963,0.8478756369646054
bci2a,1,0,n25,ann_sew_ce,RECOVERED_PARENT,0.6354166666666666,0.6354166666666666,0.5138888888888888,0.6359391320305665
bci2a,1,0,n25,sew_clif_ce,RECOVERED_PARENT,0.8368055555555556,0.8368055555555556,0.7824074074074074,0.8383770416379113
bci2a,1,0,all,ann_sew_ce,RECOVERED_PARENT,0.7395833333333334,0.7395833333333333,0.6527777777777778,0.7386206471782586
bci2a,1,0,all,sew_clif_ce,RECOVERED_PARENT,0.84375,0.84375,0.7916666666666666,0.8446932064676533
bci2a,1,0,n50,ann_sew_ce,RECOVERED_PARENT,0.7152777777777778,0.7152777777777778,0.6203703703703703,0.7148098472919031
bci2a,1,0,n50,sew_clif_ce,RECOVERED_PARENT,0.8611111111111112,0.8611111111111112,0.8148148148148149,0.8623828603419461
bci2a,1,1,n25,soft_clif_exact,REV-E1,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.8342443990532697
