dataset,subject,seed,budget,variant,layer,firing_rate,event_sparsity,events,denominator_elements,denominator_definition,total_events_all_layers
bci2a,1,0,n25,sew_clif_equal,0,0.1738673080632716,0.8261326919367284,57685,331776,batch_x_channel_x_time,119207
bci2a,1,0,n25,sew_clif_equal,1,0.025589554398148147,0.9744104456018519,8490,331776,batch_x_channel_x_time,119207
bci2a,1,0,n25,sew_clif_equal,2,0.030767746913580248,0.9692322530864198,10208,331776,batch_x_channel_x_time,119207
bci2a,1,0,n25,sew_clif_equal,3,0.1290750385802469,0.8709249614197531,42824,331776,batch_x_channel_x_time,119207
bci2a,1,0,n50,sew_clif_equal,0,0.18478431230709877,0.8152156876929012,61307,331776,batch_x_channel_x_time,128133
bci2a,1,0,n50,sew_clif_equal,1,0.025001808449074073,0.9749981915509259,8295,331776,batch_x_channel_x_time,128133
bci2a,1,0,n50,sew_clif_equal,2,0.038510923032407406,0.9614890769675926,12777,331776,batch_x_channel_x_time,128133
bci2a,1,0,n50,sew_clif_equal,3,0.13790629822530864,0.8620937017746914,45754,331776,batch_x_channel_x_time,128133
bci2a,1,0,all,sew_clif_equal,0,0.1886302806712963,0.8113697193287037,62583,331776,batch_x_channel_x_time,132340
bci2a,1,0,all,sew_clif_equal,1,0.029414424189814815,0.9705855758101852,9759,331776,batch_x_channel_x_time,132340
bci2a,1,0,all,sew_clif_equal,2,0.03866162712191358,0.9613383728780864,12827,331776,batch_x_channel_x_time,132340
bci2a,1,0,all,sew_clif_equal,3,0.14217725212191357,0.8578227478780864,47171,331776,batch_x_channel_x_time,132340
bci2a,1,1,n25,sew_clif_equal,0,0.19965880594135801,0.800341194058642,66242,331776,batch_x_channel_x_time,142131
bci2a,1,1,n25,sew_clif_equal,1,0.033109688464506175,0.9668903115354939,10985,331776,batch_x_channel_x_time,142131
bci2a,1,1,n25,sew_clif_equal,2,0.042649257330246916,0.9573507426697531,14150,331776,batch_x_channel_x_time,142131
bci2a,1,1,n25,sew_clif_equal,3,0.15297670717592593,0.8470232928240741,50754,331776,batch_x_channel_x_time,142131
bci2a,1,1,n50,sew_clif_equal,0,0.20122914255401234,0.7987708574459876,66763,331776,batch_x_channel_x_time,146780
bci2a,1,1,n50,sew_clif_equal,1,0.034514250578703706,0.9654857494212963,11451,331776,batch_x_channel_x_time,146780
bci2a,1,1,n50,sew_clif_equal,2,0.04919282889660494,0.9508071711033951,16321,331776,batch_x_channel_x_time,146780
bci2a,1,1,n50,sew_clif_equal,3,0.157470703125,0.842529296875,52245,331776,batch_x_channel_x_time,146780
bci2a,1,1,all,sew_clif_equal,0,0.201416015625,0.798583984375,66825,331776,batch_x_channel_x_time,137816
bci2a,1,1,all,sew_clif_equal,1,0.028184678819444444,0.9718153211805556,9351,331776,batch_x_channel_x_time,137816
bci2a,1,1,all,sew_clif_equal,2,0.03749819155092592,0.9625018084490741,12441,331776,batch_x_channel_x_time,137816
bci2a,1,1,all,sew_clif_equal,3,0.14828980999228394,0.8517101900077161,49199,331776,batch_x_channel_x_time,137816
bci2a,1,2,n25,sew_clif_equal,0,0.19592435860339505,0.8040756413966049,65003,331776,batch_x_channel_x_time,135231
bci2a,1,2,n25,sew_clif_equal,1,0.025568455825617283,0.9744315441743827,8483,331776,batch_x_channel_x_time,135231
bci2a,1,2,n25,sew_clif_equal,2,0.04039773823302469,0.9596022617669753,13403,331776,batch_x_channel_x_time,135231
bci2a,1,2,n25,sew_clif_equal,3,0.14570674189814814,0.8542932581018519,48342,331776,batch_x_channel_x_time,135231
bci2a,1,2,n50,sew_clif_equal,0,0.20381522472993827,0.7961847752700617,67621,331776,batch_x_channel_x_time,155172
bci2a,1,2,n50,sew_clif_equal,1,0.04088903356481482,0.9591109664351852,13566,331776,batch_x_channel_x_time,155172
bci2a,1,2,n50,sew_clif_equal,2,0.05777391975308642,0.9422260802469136,19168,331776,batch_x_channel_x_time,155172
bci2a,1,2,n50,sew_clif_equal,3,0.16522292148919754,0.8347770785108024,54817,331776,batch_x_channel_x_time,155172
bci2a,1,2,all,sew_clif_equal,0,0.19221100983796297,0.807788990162037,63771,331776,batch_x_channel_x_time,136921
bci2a,1,2,all,sew_clif_equal,1,0.032958984375,0.967041015625,10935,331776,batch_x_channel_x_time,136921
bci2a,1,2,all,sew_clif_equal,2,0.04032540027006173,0.9596745997299383,13379,331776,batch_x_channel_x_time,136921
bci2a,1,2,all,sew_clif_equal,3,0.14719569830246915,0.8528043016975309,48836,331776,batch_x_channel_x_time,136921
bci2a,2,0,n25,sew_clif_equal,0,0.16242585358796297,0.837574146412037,53889,331776,batch_x_channel_x_time,112645
bci2a,2,0,n25,sew_clif_equal,1,0.021921416859567902,0.9780785831404321,7273,331776,batch_x_channel_x_time,112645
bci2a,2,0,n25,sew_clif_equal,2,0.03253098476080247,0.9674690152391975,10793,331776,batch_x_channel_x_time,112645
bci2a,2,0,n25,sew_clif_equal,3,0.12264298804012345,0.8773570119598766,40690,331776,batch_x_channel_x_time,112645
bci2a,2,0,n50,sew_clif_equal,0,0.16427649980709877,0.8357235001929012,54503,331776,batch_x_channel_x_time,107338
bci2a,2,0,n50,sew_clif_equal,1,0.016818576388888888,0.9831814236111112,5580,331776,batch_x_channel_x_time,107338
bci2a,2,0,n50,sew_clif_equal,2,0.025248963155864196,0.9747510368441358,8377,331776,batch_x_channel_x_time,107338
bci2a,2,0,n50,sew_clif_equal,3,0.11718147183641975,0.8828185281635803,38878,331776,batch_x_channel_x_time,107338
bci2a,2,0,all,sew_clif_equal,0,0.16851429880401234,0.8314857011959876,55909,331776,batch_x_channel_x_time,114828
bci2a,2,0,all,sew_clif_equal,1,0.02001953125,0.97998046875,6642,331776,batch_x_channel_x_time,114828
bci2a,2,0,all,sew_clif_equal,2,0.032799238040123455,0.9672007619598766,10882,331776,batch_x_channel_x_time,114828
bci2a,2,0,all,sew_clif_equal,3,0.12476791570216049,0.8752320842978395,41395,331776,batch_x_channel_x_time,114828
bci2a,2,1,n25,sew_clif_equal,0,0.16232940297067902,0.837670597029321,53857,331776,batch_x_channel_x_time,105060
bci2a,2,1,n25,sew_clif_equal,1,0.016276041666666668,0.9837239583333334,5400,331776,batch_x_channel_x_time,105060
bci2a,2,1,n25,sew_clif_equal,2,0.02277741608796296,0.9772225839120371,7557,331776,batch_x_channel_x_time,105060
bci2a,2,1,n25,sew_clif_equal,3,0.11527657214506173,0.8847234278549383,38246,331776,batch_x_channel_x_time,105060
bci2a,2,1,n50,sew_clif_equal,0,0.17013587480709877,0.8298641251929012,56447,331776,batch_x_channel_x_time,118250
bci2a,2,1,n50,sew_clif_equal,1,0.02066454475308642,0.9793354552469136,6856,331776,batch_x_channel_x_time,118250
bci2a,2,1,n50,sew_clif_equal,2,0.03683509355709876,0.9631649064429012,12221,331776,batch_x_channel_x_time,118250
bci2a,2,1,n50,sew_clif_equal,3,0.12877965856481483,0.8712203414351851,42726,331776,batch_x_channel_x_time,118250
bci2a,2,1,all,sew_clif_equal,0,0.17719786844135801,0.822802131558642,58790,331776,batch_x_channel_x_time,115332
bci2a,2,1,all,sew_clif_equal,1,0.01490162037037037,0.9850983796296297,4944,331776,batch_x_channel_x_time,115332
bci2a,2,1,all,sew_clif_equal,2,0.029809268904320986,0.970190731095679,9890,331776,batch_x_channel_x_time,115332
bci2a,2,1,all,sew_clif_equal,3,0.12571132330246915,0.8742886766975309,41708,331776,batch_x_channel_x_time,115332
bci2a,2,2,n25,sew_clif_equal,0,0.17794536072530864,0.8220546392746914,59038,331776,batch_x_channel_x_time,121530
bci2a,2,2,n25,sew_clif_equal,1,0.02483904803240741,0.9751609519675926,8241,331776,batch_x_channel_x_time,121530
bci2a,2,2,n25,sew_clif_equal,2,0.03128315489969136,0.9687168451003086,10379,331776,batch_x_channel_x_time,121530
bci2a,2,2,n25,sew_clif_equal,3,0.1322337962962963,0.8677662037037037,43872,331776,batch_x_channel_x_time,121530
bci2a,2,2,n50,sew_clif_equal,0,0.17608265817901234,0.8239173418209876,58420,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,1,0.02993586033950617,0.9700641396604939,9932,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,2,0.042827088155864196,0.9571729118441358,14209,331776,batch_x_channel_x_time,128756
bci2a,2,2,n50,sew_clif_equal,3,0.1392355082947531,0.8607644917052469,46195,331776,batch_x_channel_x_time,128756
